entity1, type1,   entity2, type2,   relation_type,   source
C005227,Chemical,MESH:D000014,Disease,-,ctd
C005731,Chemical,MESH:D000014,Disease,-,ctd
C005915,Chemical,MESH:D000014,Disease,-,ctd
C006780,Chemical,MESH:D000014,Disease,-,ctd
C007567,Chemical,MESH:D000014,Disease,-,ctd
C008745,Chemical,MESH:D000014,Disease,-,ctd
C009618,Chemical,MESH:D000014,Disease,-,ctd
C012587,Chemical,MESH:D000014,Disease,-,ctd
C012589,Chemical,MESH:D000014,Disease,-,ctd
C012950,Chemical,MESH:D000014,Disease,-,ctd
C013099,Chemical,MESH:D000014,Disease,-,ctd
C013598,Chemical,MESH:D000014,Disease,-,ctd
C014794,Chemical,MESH:D000014,Disease,-,ctd
C021296,Chemical,MESH:D000014,Disease,-,ctd
C022278,Chemical,MESH:D000014,Disease,-,ctd
C025205,Chemical,MESH:D000014,Disease,-,ctd
C025340,Chemical,MESH:D000014,Disease,-,ctd
C026729,Chemical,MESH:D000014,Disease,-,ctd
C027361,Chemical,MESH:D000014,Disease,-,ctd
C028473,Chemical,MESH:D000014,Disease,-,ctd
C028577,Chemical,MESH:D000014,Disease,-,ctd
C031721,Chemical,MESH:D000014,Disease,-,ctd
C032688,Chemical,MESH:D000014,Disease,-,ctd
C032910,Chemical,MESH:D000014,Disease,-,ctd
C034171,Chemical,MESH:D000014,Disease,-,ctd
C035207,Chemical,MESH:D000014,Disease,-,ctd
C035208,Chemical,MESH:D000014,Disease,-,ctd
C035384,Chemical,MESH:D000014,Disease,-,ctd
C037330,Chemical,MESH:D000014,Disease,-,ctd
C038678,Chemical,MESH:D000014,Disease,-,ctd
C040668,Chemical,MESH:D000014,Disease,-,ctd
C042524,Chemical,MESH:D000014,Disease,-,ctd
C042796,Chemical,MESH:D000014,Disease,-,ctd
C045022,Chemical,MESH:D000014,Disease,-,ctd
C049626,Chemical,MESH:D000014,Disease,-,ctd
C053486,Chemical,MESH:D000014,Disease,-,ctd
C053487,Chemical,MESH:D000014,Disease,-,ctd
C057862,Chemical,MESH:D000014,Disease,-,ctd
C063002,Chemical,MESH:D000014,Disease,-,ctd
C063008,Chemical,MESH:D000014,Disease,-,ctd
C071194,Chemical,MESH:D000014,Disease,-,ctd
C086401,Chemical,MESH:D000014,Disease,-,ctd
C087114,Chemical,MESH:D000014,Disease,-,ctd
C095932,Chemical,MESH:D000014,Disease,-,ctd
C107901,Chemical,MESH:D000014,Disease,-,ctd
C107902,Chemical,MESH:D000014,Disease,-,ctd
C109078,Chemical,MESH:D000014,Disease,-,ctd
C109476,Chemical,MESH:D000014,Disease,-,ctd
C110990,Chemical,MESH:D000014,Disease,-,ctd
C423184,Chemical,MESH:D000014,Disease,-,ctd
D000082,Chemical,MESH:D000014,Disease,-,ctd
D000086,Chemical,MESH:D000014,Disease,-,ctd
D000166,Chemical,MESH:D000014,Disease,-,ctd
D000431,Chemical,MESH:D000014,Disease,-,ctd
D000432,Chemical,MESH:D000014,Disease,-,ctd
D000630,Chemical,MESH:D000014,Disease,-,ctd
D000639,Chemical,MESH:D000014,Disease,-,ctd
D000661,Chemical,MESH:D000014,Disease,-,ctd
D000889,Chemical,MESH:D000014,Disease,-,ctd
D000927,Chemical,MESH:D000014,Disease,-,ctd
D001241,Chemical,MESH:D000014,Disease,-,ctd
D001374,Chemical,MESH:D000014,Disease,-,ctd
D001554,Chemical,MESH:D000014,Disease,-,ctd
D001569,Chemical,MESH:D000014,Disease,-,ctd
D002066,Chemical,MESH:D000014,Disease,-,ctd
D002084,Chemical,MESH:D000014,Disease,-,ctd
D002087,Chemical,MESH:D000014,Disease,-,ctd
D002104,Chemical,MESH:D000014,Disease,-,ctd
D002110,Chemical,MESH:D000014,Disease,-,ctd
D002118,Chemical,MESH:D000014,Disease,-,ctd
D002211,Chemical,MESH:D000014,Disease,-,ctd
D002220,Chemical,MESH:D000014,Disease,-,ctd
D002231,Chemical,MESH:D000014,Disease,-,ctd
D002264,Chemical,MESH:D000014,Disease,-,ctd
D002504,Chemical,MESH:D000014,Disease,-,ctd
D002699,Chemical,MESH:D000014,Disease,-,ctd
D002707,Chemical,MESH:D000014,Disease,-,ctd
D002738,Chemical,MESH:D000014,Disease,-,ctd
D002945,Chemical,MESH:D000014,Disease,-,ctd
D002997,Chemical,MESH:D000014,Disease,-,ctd
D003042,Chemical,MESH:D000014,Disease,-,ctd
D003078,Chemical,MESH:D000014,Disease,-,ctd
D003280,Chemical,MESH:D000014,Disease,-,ctd
D003520,Chemical,MESH:D000014,Disease,-,ctd
D003561,Chemical,MESH:D000014,Disease,-,ctd
D003630,Chemical,MESH:D000014,Disease,-,ctd
D003633,Chemical,MESH:D000014,Disease,-,ctd
D003907,Chemical,MESH:D000014,Disease,-,ctd
D003993,Chemical,MESH:D000014,Disease,-,ctd
D004051,Chemical,MESH:D000014,Disease,-,ctd
D004054,Chemical,MESH:D000014,Disease,-,ctd
D004114,Chemical,MESH:D000014,Disease,-,ctd
D004221,Chemical,MESH:D000014,Disease,-,ctd
D004317,Chemical,MESH:D000014,Disease,-,ctd
D004610,Chemical,MESH:D000014,Disease,-,ctd
D004656,Chemical,MESH:D000014,Disease,-,ctd
D004958,Chemical,MESH:D000014,Disease,-,ctd
D005050,Chemical,MESH:D000014,Disease,-,ctd
D005492,Chemical,MESH:D000014,Disease,-,ctd
D005493,Chemical,MESH:D000014,Disease,-,ctd
D005620,Chemical,MESH:D000014,Disease,-,ctd
D006221,Chemical,MESH:D000014,Disease,-,ctd
D006827,Chemical,MESH:D000014,Disease,-,ctd
D006918,Chemical,MESH:D000014,Disease,-,ctd
D007052,Chemical,MESH:D000014,Disease,-,ctd
D007654,Chemical,MESH:D000014,Disease,-,ctd
D008344,Chemical,MESH:D000014,Disease,-,ctd
D008691,Chemical,MESH:D000014,Disease,-,ctd
D008694,Chemical,MESH:D000014,Disease,-,ctd
D008713,Chemical,MESH:D000014,Disease,-,ctd
D008727,Chemical,MESH:D000014,Disease,-,ctd
D008731,Chemical,MESH:D000014,Disease,-,ctd
D008767,Chemical,MESH:D000014,Disease,-,ctd
D008770,Chemical,MESH:D000014,Disease,-,ctd
D008795,Chemical,MESH:D000014,Disease,-,ctd
D009020,Chemical,MESH:D000014,Disease,-,ctd
D009538,Chemical,MESH:D000014,Disease,-,ctd
D009543,Chemical,MESH:D000014,Disease,-,ctd
D009582,Chemical,MESH:D000014,Disease,-,ctd
D010042,Chemical,MESH:D000014,Disease,-,ctd
D010100,Chemical,MESH:D000014,Disease,-,ctd
D010205,Chemical,MESH:D000014,Disease,-,ctd
D010278,Chemical,MESH:D000014,Disease,-,ctd
D010575,Chemical,MESH:D000014,Disease,-,ctd
D010617,Chemical,MESH:D000014,Disease,-,ctd
D010619,Chemical,MESH:D000014,Disease,-,ctd
D010634,Chemical,MESH:D000014,Disease,-,ctd
D010672,Chemical,MESH:D000014,Disease,-,ctd
D010882,Chemical,MESH:D000014,Disease,-,ctd
D010894,Chemical,MESH:D000014,Disease,-,ctd
D011241,Chemical,MESH:D000014,Disease,-,ctd
D011346,Chemical,MESH:D000014,Disease,-,ctd
D011803,Chemical,MESH:D000014,Disease,-,ctd
D012460,Chemical,MESH:D000014,Disease,-,ctd
D012643,Chemical,MESH:D000014,Disease,-,ctd
D012739,Chemical,MESH:D000014,Disease,-,ctd
D012906,Chemical,MESH:D000014,Disease,-,ctd
D012980,Chemical,MESH:D000014,Disease,-,ctd
D013015,Chemical,MESH:D000014,Disease,-,ctd
D013449,Chemical,MESH:D000014,Disease,-,ctd
D013726,Chemical,MESH:D000014,Disease,-,ctd
D013749,Chemical,MESH:D000014,Disease,-,ctd
D013792,Chemical,MESH:D000014,Disease,-,ctd
D013893,Chemical,MESH:D000014,Disease,-,ctd
D014150,Chemical,MESH:D000014,Disease,-,ctd
D014212,Chemical,MESH:D000014,Disease,-,ctd
D014222,Chemical,MESH:D000014,Disease,-,ctd
D014241,Chemical,MESH:D000014,Disease,-,ctd
D014293,Chemical,MESH:D000014,Disease,-,ctd
D014303,Chemical,MESH:D000014,Disease,-,ctd
D014520,Chemical,MESH:D000014,Disease,-,ctd
D014635,Chemical,MESH:D000014,Disease,-,ctd
D014700,Chemical,MESH:D000014,Disease,-,ctd
D014801,Chemical,MESH:D000014,Disease,-,ctd
D014859,Chemical,MESH:D000014,Disease,-,ctd
D015039,Chemical,MESH:D000014,Disease,-,ctd
D015084,Chemical,MESH:D000014,Disease,-,ctd
D015215,Chemical,MESH:D000014,Disease,-,ctd
D015474,Chemical,MESH:D000014,Disease,-,ctd
D015725,Chemical,MESH:D000014,Disease,-,ctd
D016595,Chemical,MESH:D000014,Disease,-,ctd
D016642,Chemical,MESH:D000014,Disease,-,ctd
D016651,Chemical,MESH:D000014,Disease,-,ctd
D016718,Chemical,MESH:D000014,Disease,-,ctd
D017338,Chemical,MESH:D000014,Disease,-,ctd
D017374,Chemical,MESH:D000014,Disease,-,ctd
D017382,Chemical,MESH:D000014,Disease,-,ctd
D019833,Chemical,MESH:D000014,Disease,-,ctd
D020748,Chemical,MESH:D000014,Disease,-,ctd
D028321,Chemical,MESH:D000014,Disease,-,ctd
D045167,Chemical,MESH:D000014,Disease,-,ctd
D047228,Chemical,MESH:D000014,Disease,-,ctd
D052244,Chemical,MESH:D000014,Disease,-,ctd
C002701,Chemical,MESH:D000015,Disease,-,ctd
C004925,Chemical,MESH:D000015,Disease,-,ctd
C012589,Chemical,MESH:D000015,Disease,-,ctd
C013598,Chemical,MESH:D000015,Disease,-,ctd
C028577,Chemical,MESH:D000015,Disease,-,ctd
C029892,Chemical,MESH:D000015,Disease,-,ctd
C030984,Chemical,MESH:D000015,Disease,-,ctd
C031181,Chemical,MESH:D000015,Disease,-,ctd
C038678,Chemical,MESH:D000015,Disease,-,ctd
C040668,Chemical,MESH:D000015,Disease,-,ctd
C041509,Chemical,MESH:D000015,Disease,-,ctd
C045463,Chemical,MESH:D000015,Disease,-,ctd
C084904,Chemical,MESH:D000015,Disease,-,ctd
C089796,Chemical,MESH:D000015,Disease,-,ctd
C097613,Chemical,MESH:D000015,Disease,-,ctd
C107902,Chemical,MESH:D000015,Disease,-,ctd
C113145,Chemical,MESH:D000015,Disease,-,ctd
C119620,Chemical,MESH:D000015,Disease,-,ctd
C483321,Chemical,MESH:D000015,Disease,-,ctd
C487736,Chemical,MESH:D000015,Disease,-,ctd
C511295,Chemical,MESH:D000015,Disease,-,ctd
C517943,Chemical,MESH:D000015,Disease,-,ctd
C526651,Chemical,MESH:D000015,Disease,-,ctd
D000630,Chemical,MESH:D000015,Disease,-,ctd
D000927,Chemical,MESH:D000015,Disease,-,ctd
D002087,Chemical,MESH:D000015,Disease,-,ctd
D002110,Chemical,MESH:D000015,Disease,-,ctd
D002220,Chemical,MESH:D000015,Disease,-,ctd
D003042,Chemical,MESH:D000015,Disease,-,ctd
D003300,Chemical,MESH:D000015,Disease,-,ctd
D003520,Chemical,MESH:D000015,Disease,-,ctd
D003993,Chemical,MESH:D000015,Disease,-,ctd
D005411,Chemical,MESH:D000015,Disease,-,ctd
D006540,Chemical,MESH:D000015,Disease,-,ctd
D006827,Chemical,MESH:D000015,Disease,-,ctd
D008727,Chemical,MESH:D000015,Disease,-,ctd
D010634,Chemical,MESH:D000015,Disease,-,ctd
D010672,Chemical,MESH:D000015,Disease,-,ctd
D011324,Chemical,MESH:D000015,Disease,-,ctd
D011804,Chemical,MESH:D000015,Disease,-,ctd
D013749,Chemical,MESH:D000015,Disease,-,ctd
D013893,Chemical,MESH:D000015,Disease,-,ctd
D014212,Chemical,MESH:D000015,Disease,-,ctd
D014293,Chemical,MESH:D000015,Disease,-,ctd
D014529,Chemical,MESH:D000015,Disease,-,ctd
D014635,Chemical,MESH:D000015,Disease,-,ctd
D014801,Chemical,MESH:D000015,Disease,-,ctd
D015039,Chemical,MESH:D000015,Disease,-,ctd
D015474,Chemical,MESH:D000015,Disease,-,ctd
D016595,Chemical,MESH:D000015,Disease,-,ctd
D016718,Chemical,MESH:D000015,Disease,-,ctd
D017255,Chemical,MESH:D000015,Disease,-,ctd
D017338,Chemical,MESH:D000015,Disease,-,ctd
D018021,Chemical,MESH:D000015,Disease,-,ctd
D019855,Chemical,MESH:D000015,Disease,-,ctd
C000188,Chemical,MESH:D000022,Disease,-,ctd
C000944,Chemical,MESH:D000022,Disease,-,ctd
C001847,Chemical,MESH:D000022,Disease,-,ctd
C005806,Chemical,MESH:D000022,Disease,-,ctd
C016027,Chemical,MESH:D000022,Disease,-,ctd
C016767,Chemical,MESH:D000022,Disease,-,ctd
C017947,Chemical,MESH:D000022,Disease,-,ctd
C024273,Chemical,MESH:D000022,Disease,-,ctd
C025191,Chemical,MESH:D000022,Disease,-,ctd
C027971,Chemical,MESH:D000022,Disease,-,ctd
C028912,Chemical,MESH:D000022,Disease,-,ctd
C035838,Chemical,MESH:D000022,Disease,-,ctd
C035967,Chemical,MESH:D000022,Disease,-,ctd
C043377,Chemical,MESH:D000022,Disease,-,ctd
C044267,Chemical,MESH:D000022,Disease,-,ctd
C049346,Chemical,MESH:D000022,Disease,-,ctd
C051786,Chemical,MESH:D000022,Disease,-,ctd
C054409,Chemical,MESH:D000022,Disease,-,ctd
C055370,Chemical,MESH:D000022,Disease,-,ctd
C055818,Chemical,MESH:D000022,Disease,-,ctd
C072763,Chemical,MESH:D000022,Disease,-,ctd
C078814,Chemical,MESH:D000022,Disease,-,ctd
C097613,Chemical,MESH:D000022,Disease,-,ctd
C401929,Chemical,MESH:D000022,Disease,-,ctd
C415325,Chemical,MESH:D000022,Disease,-,ctd
C447879,Chemical,MESH:D000022,Disease,-,ctd
C470613,Chemical,MESH:D000022,Disease,-,ctd
C542355,Chemical,MESH:D000022,Disease,-,ctd
D000212,Chemical,MESH:D000022,Disease,-,ctd
D001151,Chemical,MESH:D000022,Disease,-,ctd
D002261,Chemical,MESH:D000022,Disease,-,ctd
D003042,Chemical,MESH:D000022,Disease,-,ctd
D004006,Chemical,MESH:D000022,Disease,-,ctd
D004010,Chemical,MESH:D000022,Disease,-,ctd
D004051,Chemical,MESH:D000022,Disease,-,ctd
D004054,Chemical,MESH:D000022,Disease,-,ctd
D006493,Chemical,MESH:D000022,Disease,-,ctd
D008687,Chemical,MESH:D000022,Disease,-,ctd
D008764,Chemical,MESH:D000022,Disease,-,ctd
D009267,Chemical,MESH:D000022,Disease,-,ctd
D015122,Chemical,MESH:D000022,Disease,-,ctd
D015232,Chemical,MESH:D000022,Disease,-,ctd
D015474,Chemical,MESH:D000022,Disease,-,ctd
D015735,Chemical,MESH:D000022,Disease,-,ctd
D016595,Chemical,MESH:D000022,Disease,-,ctd
D019833,Chemical,MESH:D000022,Disease,-,ctd
C101426,Chemical,MESH:D000026,Disease,-,ctd
D004394,Chemical,MESH:D000033,Disease,-,ctd
D008525,Chemical,MESH:D000033,Disease,-,ctd
D011374,Chemical,MESH:D000034,Disease,-,ctd
D003042,Chemical,MESH:D000037,Disease,-,ctd
D008694,Chemical,MESH:D000037,Disease,-,ctd
D010634,Chemical,MESH:D000037,Disease,-,ctd
D016578,Chemical,MESH:D000037,Disease,-,ctd
C035444,Chemical,MESH:D000038,Disease,-,ctd
C040738,Chemical,MESH:D000038,Disease,-,ctd
C058216,Chemical,MESH:D000038,Disease,-,ctd
C098010,Chemical,MESH:D000038,Disease,-,ctd
D000667,Chemical,MESH:D000038,Disease,-,ctd
D001398,Chemical,MESH:D000038,Disease,-,ctd
D002047,Chemical,MESH:D000038,Disease,-,ctd
D002228,Chemical,MESH:D000038,Disease,-,ctd
D002442,Chemical,MESH:D000038,Disease,-,ctd
D002443,Chemical,MESH:D000038,Disease,-,ctd
D002512,Chemical,MESH:D000038,Disease,-,ctd
D002746,Chemical,MESH:D000038,Disease,-,ctd
D002939,Chemical,MESH:D000038,Disease,-,ctd
D003975,Chemical,MESH:D000038,Disease,-,ctd
D004365,Chemical,MESH:D000038,Disease,-,ctd
D005467,Chemical,MESH:D000038,Disease,-,ctd
D005839,Chemical,MESH:D000038,Disease,-,ctd
D006051,Chemical,MESH:D000038,Disease,-,ctd
D008712,Chemical,MESH:D000038,Disease,-,ctd
D008795,Chemical,MESH:D000038,Disease,-,ctd
D009254,Chemical,MESH:D000038,Disease,-,ctd
D010242,Chemical,MESH:D000038,Disease,-,ctd
D010406,Chemical,MESH:D000038,Disease,-,ctd
D010615,Chemical,MESH:D000038,Disease,-,ctd
D011398,Chemical,MESH:D000038,Disease,-,ctd
D014031,Chemical,MESH:D000038,Disease,-,ctd
D014640,Chemical,MESH:D000038,Disease,-,ctd
D015311,Chemical,MESH:D000038,Disease,-,ctd
D017576,Chemical,MESH:D000038,Disease,-,ctd
D001548,Chemical,MESH:D000051,Disease,-,ctd
D012967,Chemical,MESH:D000051,Disease,-,ctd
D014212,Chemical,MESH:D000051,Disease,-,ctd
C009935,Chemical,MESH:D000052,Disease,-,ctd
D009853,Chemical,MESH:D000126,Disease,-,ctd
D001241,Chemical,MESH:D000137,Disease,-,ctd
D003042,Chemical,MESH:D000137,Disease,-,ctd
D009268,Chemical,MESH:D000137,Disease,-,ctd
D017693,Chemical,MESH:D000137,Disease,-,ctd
C009250,Chemical,MESH:D000138,Disease,-,ctd
C010238,Chemical,MESH:D000138,Disease,-,ctd
C013484,Chemical,MESH:D000138,Disease,-,ctd
C016299,Chemical,MESH:D000138,Disease,-,ctd
C017096,Chemical,MESH:D000138,Disease,-,ctd
C018231,Chemical,MESH:D000138,Disease,-,ctd
C018968,Chemical,MESH:D000138,Disease,-,ctd
C019273,Chemical,MESH:D000138,Disease,-,ctd
C031251,Chemical,MESH:D000138,Disease,-,ctd
C032159,Chemical,MESH:D000138,Disease,-,ctd
C057693,Chemical,MESH:D000138,Disease,-,ctd
C062969,Chemical,MESH:D000138,Disease,-,ctd
C095424,Chemical,MESH:D000138,Disease,-,ctd
C102006,Chemical,MESH:D000138,Disease,-,ctd
D000082,Chemical,MESH:D000138,Disease,-,ctd
D000086,Chemical,MESH:D000138,Disease,-,ctd
D000255,Chemical,MESH:D000138,Disease,-,ctd
D000420,Chemical,MESH:D000138,Disease,-,ctd
D000431,Chemical,MESH:D000138,Disease,-,ctd
D000432,Chemical,MESH:D000138,Disease,-,ctd
D000638,Chemical,MESH:D000138,Disease,-,ctd
D000643,Chemical,MESH:D000138,Disease,-,ctd
D000657,Chemical,MESH:D000138,Disease,-,ctd
D000666,Chemical,MESH:D000138,Disease,-,ctd
D001241,Chemical,MESH:D000138,Disease,-,ctd
D001623,Chemical,MESH:D000138,Disease,-,ctd
D002034,Chemical,MESH:D000138,Disease,-,ctd
D002045,Chemical,MESH:D000138,Disease,-,ctd
D002119,Chemical,MESH:D000138,Disease,-,ctd
D002228,Chemical,MESH:D000138,Disease,-,ctd
D002354,Chemical,MESH:D000138,Disease,-,ctd
D002997,Chemical,MESH:D000138,Disease,-,ctd
D003035,Chemical,MESH:D000138,Disease,-,ctd
D003042,Chemical,MESH:D000138,Disease,-,ctd
D003300,Chemical,MESH:D000138,Disease,-,ctd
D003486,Chemical,MESH:D000138,Disease,-,ctd
D003561,Chemical,MESH:D000138,Disease,-,ctd
D004006,Chemical,MESH:D000138,Disease,-,ctd
D004008,Chemical,MESH:D000138,Disease,-,ctd
D004051,Chemical,MESH:D000138,Disease,-,ctd
D004110,Chemical,MESH:D000138,Disease,-,ctd
D004176,Chemical,MESH:D000138,Disease,-,ctd
D004232,Chemical,MESH:D000138,Disease,-,ctd
D004280,Chemical,MESH:D000138,Disease,-,ctd
D004837,Chemical,MESH:D000138,Disease,-,ctd
D005045,Chemical,MESH:D000138,Disease,-,ctd
D005279,Chemical,MESH:D000138,Disease,-,ctd
D005665,Chemical,MESH:D000138,Disease,-,ctd
D006221,Chemical,MESH:D000138,Disease,-,ctd
D006594,Chemical,MESH:D000138,Disease,-,ctd
D006851,Chemical,MESH:D000138,Disease,-,ctd
D007069,Chemical,MESH:D000138,Disease,-,ctd
D007472,Chemical,MESH:D000138,Disease,-,ctd
D007538,Chemical,MESH:D000138,Disease,-,ctd
D007548,Chemical,MESH:D000138,Disease,-,ctd
D008094,Chemical,MESH:D000138,Disease,-,ctd
D008140,Chemical,MESH:D000138,Disease,-,ctd
D008704,Chemical,MESH:D000138,Disease,-,ctd
D008712,Chemical,MESH:D000138,Disease,-,ctd
D009268,Chemical,MESH:D000138,Disease,-,ctd
D009525,Chemical,MESH:D000138,Disease,-,ctd
D010400,Chemical,MESH:D000138,Disease,-,ctd
D010406,Chemical,MESH:D000138,Disease,-,ctd
D010862,Chemical,MESH:D000138,Disease,-,ctd
D011189,Chemical,MESH:D000138,Disease,-,ctd
D011398,Chemical,MESH:D000138,Disease,-,ctd
D011522,Chemical,MESH:D000138,Disease,-,ctd
D011736,Chemical,MESH:D000138,Disease,-,ctd
D011899,Chemical,MESH:D000138,Disease,-,ctd
D012312,Chemical,MESH:D000138,Disease,-,ctd
D013386,Chemical,MESH:D000138,Disease,-,ctd
D013390,Chemical,MESH:D000138,Disease,-,ctd
D013726,Chemical,MESH:D000138,Disease,-,ctd
D013752,Chemical,MESH:D000138,Disease,-,ctd
D013806,Chemical,MESH:D000138,Disease,-,ctd
D013831,Chemical,MESH:D000138,Disease,-,ctd
D013874,Chemical,MESH:D000138,Disease,-,ctd
D013999,Chemical,MESH:D000138,Disease,-,ctd
D014635,Chemical,MESH:D000138,Disease,-,ctd
D014700,Chemical,MESH:D000138,Disease,-,ctd
D015742,Chemical,MESH:D000138,Disease,-,ctd
D016578,Chemical,MESH:D000138,Disease,-,ctd
D017693,Chemical,MESH:D000138,Disease,-,ctd
D017706,Chemical,MESH:D000138,Disease,-,ctd
D018119,Chemical,MESH:D000138,Disease,-,ctd
D019287,Chemical,MESH:D000138,Disease,-,ctd
D019344,Chemical,MESH:D000138,Disease,-,ctd
D019438,Chemical,MESH:D000138,Disease,-,ctd
D019469,Chemical,MESH:D000138,Disease,-,ctd
D019804,Chemical,MESH:D000138,Disease,-,ctd
D019946,Chemical,MESH:D000138,Disease,-,ctd
C006972,Chemical,MESH:D000140,Disease,-,ctd
C008461,Chemical,MESH:D000140,Disease,-,ctd
C027744,Chemical,MESH:D000140,Disease,-,ctd
C095476,Chemical,MESH:D000140,Disease,-,ctd
C096918,Chemical,MESH:D000140,Disease,-,ctd
C098320,Chemical,MESH:D000140,Disease,-,ctd
D000082,Chemical,MESH:D000140,Disease,-,ctd
D000431,Chemical,MESH:D000140,Disease,-,ctd
D001639,Chemical,MESH:D000140,Disease,-,ctd
D003024,Chemical,MESH:D000140,Disease,-,ctd
D003287,Chemical,MESH:D000140,Disease,-,ctd
D003401,Chemical,MESH:D000140,Disease,-,ctd
D004221,Chemical,MESH:D000140,Disease,-,ctd
D004837,Chemical,MESH:D000140,Disease,-,ctd
D005472,Chemical,MESH:D000140,Disease,-,ctd
D005905,Chemical,MESH:D000140,Disease,-,ctd
D005947,Chemical,MESH:D000140,Disease,-,ctd
D008070,Chemical,MESH:D000140,Disease,-,ctd
D008687,Chemical,MESH:D000140,Disease,-,ctd
D008775,Chemical,MESH:D000140,Disease,-,ctd
D009525,Chemical,MESH:D000140,Disease,-,ctd
D009543,Chemical,MESH:D000140,Disease,-,ctd
D010629,Chemical,MESH:D000140,Disease,-,ctd
D011241,Chemical,MESH:D000140,Disease,-,ctd
D011342,Chemical,MESH:D000140,Disease,-,ctd
D012254,Chemical,MESH:D000140,Disease,-,ctd
D014635,Chemical,MESH:D000140,Disease,-,ctd
D014640,Chemical,MESH:D000140,Disease,-,ctd
D015215,Chemical,MESH:D000140,Disease,-,ctd
D015742,Chemical,MESH:D000140,Disease,-,ctd
D016049,Chemical,MESH:D000140,Disease,-,ctd
D018119,Chemical,MESH:D000140,Disease,-,ctd
D019259,Chemical,MESH:D000140,Disease,-,ctd
D019344,Chemical,MESH:D000140,Disease,-,ctd
D019346,Chemical,MESH:D000140,Disease,-,ctd
D019380,Chemical,MESH:D000140,Disease,-,ctd
D019438,Chemical,MESH:D000140,Disease,-,ctd
D019469,Chemical,MESH:D000140,Disease,-,ctd
D019829,Chemical,MESH:D000140,Disease,-,ctd
D019946,Chemical,MESH:D000140,Disease,-,ctd
D044966,Chemical,MESH:D000140,Disease,-,ctd
C052342,Chemical,MESH:D000141,Disease,-,ctd
C059262,Chemical,MESH:D000141,Disease,-,ctd
C059765,Chemical,MESH:D000141,Disease,-,ctd
C102006,Chemical,MESH:D000141,Disease,-,ctd
D000584,Chemical,MESH:D000141,Disease,-,ctd
D000666,Chemical,MESH:D000141,Disease,-,ctd
D001374,Chemical,MESH:D000141,Disease,-,ctd
D001639,Chemical,MESH:D000141,Disease,-,ctd
D003520,Chemical,MESH:D000141,Disease,-,ctd
D005437,Chemical,MESH:D000141,Disease,-,ctd
D006851,Chemical,MESH:D000141,Disease,-,ctd
D007052,Chemical,MESH:D000141,Disease,-,ctd
D007069,Chemical,MESH:D000141,Disease,-,ctd
D008094,Chemical,MESH:D000141,Disease,-,ctd
D008712,Chemical,MESH:D000141,Disease,-,ctd
D008733,Chemical,MESH:D000141,Disease,-,ctd
D011241,Chemical,MESH:D000141,Disease,-,ctd
D013148,Chemical,MESH:D000141,Disease,-,ctd
D013311,Chemical,MESH:D000141,Disease,-,ctd
D015662,Chemical,MESH:D000141,Disease,-,ctd
D016559,Chemical,MESH:D000141,Disease,-,ctd
D016651,Chemical,MESH:D000141,Disease,-,ctd
D017245,Chemical,MESH:D000141,Disease,-,ctd
D018021,Chemical,MESH:D000141,Disease,-,ctd
D019804,Chemical,MESH:D000141,Disease,-,ctd
C003297,Chemical,MESH:D000142,Disease,-,ctd
C013915,Chemical,MESH:D000142,Disease,-,ctd
C035458,Chemical,MESH:D000142,Disease,-,ctd
C051844,Chemical,MESH:D000142,Disease,-,ctd
C097558,Chemical,MESH:D000142,Disease,-,ctd
D002047,Chemical,MESH:D000142,Disease,-,ctd
